Name,Status,Completed,Collin Rating,Valerie Rating,Genre,Source,Previously Seen By,Chosen By,imdb,Release Date,imdb_id,extra_info,tmdb_id,summary,adult,genre_ids,popularity,vote_average,vote_count
Sonic the Hedgehog,Watched,"September 15, 2024",7.0,6.5,"Adventure, Comedy, Family",Paramount+,Neither,"Collin, Zach",https://www.imdb.com/title/tt3794354/,"February 12, 2020",tt3794354,"{'tmdb_id': 454626, 'summary': 'Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.', 'adult': False, 'genre_ids': [28, 878, 35, 10751], 'popularity': 79.773, 'vote_average': 7.318, 'vote_count': 9434}",454626,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",False,"[28, 878, 35, 10751]",79.773,7.318,9434
Tangled,Watched,"September 9, 2024",8.0,8.5,"Adventure, Family",Disney +,"Collin, Valerie",Collin,https://www.imdb.com/title/tt0398286/,"November 24, 2010",tt0398286,"{'tmdb_id': 38757, 'summary': ""Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade."", 'adult': False, 'genre_ids': [16, 10751], 'popularity': 118.79, 'vote_average': 7.606, 'vote_count': 11360}",38757,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.",False,"[16, 10751]",118.79,7.606,11360
Lisa Frankenstein,Watched,"September 8, 2024",7.5,8.0,"Comedy, Horror, Romance",Peacock,Neither,Valerie,https://www.imdb.com/title/tt21188080/,"February 8, 2024",tt21188080,"{'tmdb_id': 993784, 'summary': 'In 1989, a misunderstood teenager has a high school crush — who just happens to be a handsome corpse! After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness…and a few missing body parts along the way.', 'adult': False, 'genre_ids': [35, 27, 10749], 'popularity': 31.95, 'vote_average': 6.3, 'vote_count': 340}",993784,"In 1989, a misunderstood teenager has a high school crush — who just happens to be a handsome corpse! After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness…and a few missing body parts along the way.",False,"[35, 27, 10749]",31.95,6.3,340
Beetlejuice Beetlejuice,Watched,"September 7, 2024",8.0,8.0,Comedy,Theater,Neither,"Collin, Valerie, Zach",https://www.imdb.com/title/tt2049403/,"September 6, 2024",tt2049403,"{'tmdb_id': 917496, 'summary': ""After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."", 'adult': False, 'genre_ids': [35, 14, 27], 'popularity': 2059.319, 'vote_average': 7.2, 'vote_count': 1449}",917496,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",False,"[35, 14, 27]",2059.319,7.2,1449
Beetlejuice,Watched,"September 6, 2024",8.0,7.0,Comedy,Max,"Collin, Valerie",Valerie,https://www.imdb.com/title/tt0094721/,"March 29, 1988",tt0094721,"{'tmdb_id': 4011, 'summary': 'A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.', 'adult': False, 'genre_ids': [14, 35], 'popularity': 351.442, 'vote_average': 7.382, 'vote_count': 7364}",4011,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,False,"[14, 35]",351.442,7.382,7364
Birdman or (The Unexpected Virtue of Ignorance),Watched,"September 6, 2024",8.5,9.5,"Bizarro, Drama",To Torrent,Collin,Collin,https://imdb.com/title/tt2562232/,"November 14, 2014",tt2562232,"{'tmdb_id': 194662, 'summary': 'A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.', 'adult': False, 'genre_ids': [18, 35], 'popularity': 43.995, 'vote_average': 7.466, 'vote_count': 12706}",194662,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",False,"[18, 35]",43.995,7.466,12706
Trap,Watched,"September 3, 2024",5.5,5.0,Thriller,Theater,Neither,Karmen,https://www.imdb.com/title/tt26753003/,"August 1, 2024",tt26753003,"{'tmdb_id': 1032823, 'summary': ""A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event."", 'adult': False, 'genre_ids': [53, 80, 27], 'popularity': 255.649, 'vote_average': 6.5, 'vote_count': 1346}",1032823,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",False,"[53, 80, 27]",255.649,6.5,1346
Ruby Gillman: Teenage Kraken,Watched,"September 1, 2024",7.5,5.0,"Comedy, Family",Netflix,Neither,Collin,https://www.imdb.com/title/tt27155038/',"June 30, 2023",tt27155038,"{'tmdb_id': 1040148, 'summary': ""Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most."", 'adult': False, 'genre_ids': [16, 10751, 14, 35], 'popularity': 73.225, 'vote_average': 7.259, 'vote_count': 957}",1040148,"Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",False,"[16, 10751, 14, 35]",73.225,7.259,957
Pleasantville,Watched,"August 24, 2024",7.0,8.0,"Comedy, Drama",Youtube,Neither,Valerie,https://www.imdb.com/title/tt0120789/,"October 23, 1998",tt0120789,"{'tmdb_id': 2657, 'summary': 'Geeky teenager David and his popular twin sister, Jennifer, get sucked into the black-and-white world of a 1950s TV sitcom called ""Pleasantville,"" and find a world where everything is peachy keen all the time. But when Jennifer\'s modern attitude disrupts Pleasantville\'s peaceful but boring routine, she literally brings color into its life.', 'adult': False, 'genre_ids': [14, 35, 18], 'popularity': 10.172, 'vote_average': 7.255, 'vote_count': 1651}",2657,"Geeky teenager David and his popular twin sister, Jennifer, get sucked into the black-and-white world of a 1950s TV sitcom called ""Pleasantville,"" and find a world where everything is peachy keen all the time. But when Jennifer's modern attitude disrupts Pleasantville's peaceful but boring routine, she literally brings color into its life.",False,"[14, 35, 18]",10.172,7.255,1651
The Idea of You,Watched,"August 24, 2024",6.5,,"Comedy, Romance",Prime Video,Neither,,https://www.imdb.com/title/tt9466114/,"May 2, 2024",tt9466114,"{'tmdb_id': 843527, 'summary': ""40-year-old single mom Solène begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet. As they begin a whirlwind romance, it isn't long before Hayes' superstar status poses unavoidable challenges to their relationship, and Solène soon discovers that life in the glare of his spotlight might be more than she bargained for."", 'adult': False, 'genre_ids': [10749, 18, 35], 'popularity': 147.501, 'vote_average': 7.42, 'vote_count': 1403}",843527,"40-year-old single mom Solène begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet. As they begin a whirlwind romance, it isn't long before Hayes' superstar status poses unavoidable challenges to their relationship, and Solène soon discovers that life in the glare of his spotlight might be more than she bargained for.",False,"[10749, 18, 35]",147.501,7.42,1403
