Name,Status,Completed,Collin Rating,Valerie Rating,Genre,Source,Previously Seen By,Chosen By,imdb,Release Date
Space Jam,Watched,"July 7, 2024",7,7,"Comedy, Family",Max,Valerie,Valerie,https://www.imdb.com/title/tt0117705/,"November 10, 1996"
Inside Out 2,Watched,"July 4, 2024",8,8.5,"Comedy, Drama, Family",Torrent,Neither,Anna,https://www.imdb.com/title/tt22022452/,"June 14, 2024"
Unfrosted,Watched,"July 2, 2024",7.5,6.5,Comedy,Netflix,Neither,Collin,https://www.imdb.com/title/tt14914430/,"May 3, 2024"
Bruce Almighty,Watched,"June 26, 2024",7.5,8,Comedy,Torrent,"Collin, Valerie",Collin,https://www.imdb.com/title/tt0315327/,"May 23, 2003"
Shaggy D.A.,Watched,"June 21, 2024",6,6,Comedy,Disney +,Neither,Valerie,https://www.imdb.com/title/tt0075200/,"December 17, 1976"
Mr Deeds,Watched,"June 19, 2024",6.5,6,"Comedy, Romance",Torrent,Collin,Collin,https://imdb.com/title/tt0280590/,"May 28, 2002"
The Holiday,Watched,"June 14, 2024",7,6,Romance,Torrent,Collin,Collin,https://www.imdb.com/title/tt0457939/,"November 29, 2006"
The Dark Crystal,Watched,"May 26, 2024",5,5,"Action, Family",Peacock,Valerie,Valerie,https://www.imdb.com/title/tt0083791/,"December 17, 1982"
Deadpool 2,Watched,"May 15, 2024",7,6,"Action, Comedy",Disney +,Collin,Collin,https://www.imdb.com/title/tt5463162/,"October 5, 2018"
The Mummy 2,Watched,"May 10, 2024",7,7,Action,Peacock,Valerie,Valerie,https://www.imdb.com/title/tt0209163/,"April 29, 2001"
Tenacious D: The Pick of Destiny,Watched,"May 1, 2024",5.5,7.5,"Comedy, Musical",Torrent,Neither,Collin,https://www.imdb.com/title/tt0365830/,"November 22, 2006"
Moana,Watched,"April 24, 2024",6.5,7,"Family, Musical",Disney +,Valerie,Valerie,https://www.imdb.com/title/tt3521164/,"November 14, 2016"
Joe Dirt,Watched,"April 19, 2024",8,6.5,"Comedy, Family",Torrent,Collin,Collin,https://www.imdb.com/title/tt0245686/,"November 4, 2001"
Masterminds,Watched,"April 17, 2024",7,7,Comedy,Hulu,Valerie,Valerie,https://www.imdb.com/title/tt2461150/,"September 28, 2016"
Zach and Miri Make A Porno,Watched,"April 16, 2024",6.5,4,"Comedy, Romance",,Neither,Collin,https://www.imdb.com/title/tt1007028/,"October 20, 2008"
The Mask,Watched,"April 11, 2024",7,9.5,Comedy,,"Collin, Valerie",Valerie,https://www.imdb.com/title/tt0110475/,"July 29, 1994"
Billy Madison,Watched,"April 10, 2024",9,7.5,Comedy,,Collin,Collin,https://www.imdb.com/title/tt0112508/,"October 2, 1995"
Willy Wonka and the Chocolate Factory,Watched,"March 15, 2024",8.5,8.5,"Family, Musical",,"Collin, Valerie","Collin, Valerie",https://www.imdb.com/title/tt0067992/,"June 30, 1971"
The Out-Laws,Watched,"March 14, 2024",4,4,Comedy,Netflix,Neither,Valerie,https://www.imdb.com/title/tt11274492/,"July 7, 2023"
Amadeus [Extended Cut],Watched,"March 1, 2024",6,8.5,"Drama, Musical",Torrent,Valerie,Valerie,https://www.imdb.com/title/tt0086879/,"September 19, 1984"
The Suicide Squad,Watched,"February 20, 2024",6.5,5,"Action, Comedy",Max,Collin,Collin,https://www.imdb.com/title/tt6334354/,"July 30, 2021"
The Lorax,Watched,"February 9, 2024",4,6,"Drama, Family",,Valerie,Valerie,https://www.imdb.com/title/tt1482459/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_lorax,"February 19, 2012"
Castaway on the Moon,Watched,"February 6, 2024",8.5,8.5,Drama,Torrent,Collin,Collin,https://www.imdb.com/title/tt1499666/,"February 5, 2010"
